Title,Environments,Aliases,Owners,Primary URL (Site folder name),Department,Notes
enet-hpc.enet.umn.edu,prod,enet-hpc.enet.umn.edu,muno,enet-hpc.enet.umn.edu,CSE - College of Science & Engineering,
"Control, Robotics, and Intelligent Systems Laboratory",prod,cories.aem.umn.edu,daksaray,cories.aem.umn.edu,CSE - College of Science & Engineering,
pcl,"dev, test, prod","pcl.dev.umn.edu, pcl.stg.umn.edu",agarw161,pcl.umn.edu,CSE - College of Science & Engineering,
Vipin Kumar,"dev, test, prod","vkumar.stg.umn.edu, vkumar.dev.umn.edu, vkumar.dl9.umn.edu",kumar001,vkumar.umn.edu,CSE - CS - Computer Science,
SMART HUGS,"test, prod","smarthugs.stg.umn.edu, smarthugs.dev.umn.edu, smarthugs.dl9.umn.edu",gini,smarthugs.umn.edu,CSE - CS - Computer Science,
maddah.umn.edu,"test, prod","maddah.dev.umn.edu, maddah.stg.umn.edu",maddah,maddah.umn.edu,CSE - ECE - Electrical & Comp Engineering,
Spin Valley,"test, prod","spinvalley.stg.umn.edu, spinvalley.dev.umn.edu, spinvalley.dl9.umn.edu",kdukart,spinvalley.umn.edu,CSE - ECE - Electrical & Comp Engineering,
Jian-Ping Wang Faculty Page,"test, prod","www.nanospin.umn.edu, nanospin.stg.umn.edu, nanospin.dev.umn.edu, nanospin.dl9.umn.edu",jpwang,nanospin.umn.edu,CSE - ECE - Electrical & Comp Engineering,
Martina Cardone Website,"test, prod","mcardone.stg.umn.edu, mcardone.dev.umn.edu, mcardone.dl9.umn.edu",kdukart,mcardone.umn.edu,CSE - ECE - Electrical & Comp Engineering,
Kia Bazargan Faculty Page,"test, prod","kia.stg.umn.edu, kia.dev.umn.edu, kia.dl9.umn.edu",kdukart,kia.umn.edu,CSE - ECE - Electrical & Comp Engineering,
Information Processing Group,"test, prod","ipg.stg.umn.edu, ipg.dev.umn.edu, ipg.dl9.umn.edu",kdukart,ipg.umn.edu,CSE - ECE - Electrical & Comp Engineering,
Chris Kim Faculty Page,"test, prod","chriskim.stg.umn.edu, chriskim.dev.umn.edu, chriskim.dl9.umn.edu",chriskim,chriskim.umn.edu,CSE - ECE - Electrical & Comp Engineering,
David Orser Faculty Page,"test, prod","davidorser.stg.umn.edu, davidorser.dev.umn.edu, davidorser.dl9.umn.edu",orser,davidorser.umn.edu,CSE - ECE - Electrical & Comp Engineering,
Changhyun Choi Website,"test, prod","choice.stg.umn.edu, choice.dev.umn.edu, choice.dl9.umn.edu",cchoi,choice.umn.edu,CSE - ECE - Electrical & Comp Engineering,
Jungwon Choi,"test, prod","choi.stg.umn.edu, choi.dev.umn.edu, choi.dl9.umn.edu",jwchoi,choi.umn.edu,CSE - ECE - Electrical & Comp Engineering,
Stephen Campbell,"test, prod","campbell.stg.umn.edu, campbell.dev.umn.edu, campbell.dl9.umn.edu, campbell.umn.edu",kdukart,campbell.umn.edu,CSE - ECE - Electrical & Comp Engineering,
arctic,"test, prod","www.arctic.umn.edu, arctic.stg.umn.edu, arctic.dev.umn.edu, arctic.dl9.umn.edu",lilja,arctic.umn.edu,CSE - ECE - Electrical & Comp Engineering,
UMN Women In Engineering,"test, prod","wie.stg.umn.edu, wie.dev.umn.edu, wie.dl9.umn.edu",kdukart,wie.umn.edu,CSE - ECE - Electrical & Comp Engineering,
Tony Low Website,"test, prod","tonylow.stg.umn.edu, tonylow.dev.umn.edu, tonylow.dl9.umn.edu",tlow,tonylow.umn.edu,CSE - ECE - Electrical & Comp Engineering,
Imagine Lab,"test, prod","akcakaya.umn.edu, imagine.dev.umn.edu, imagine.stg.umn.edu, imagine.umn.edu",akcakaya,imagine.umn.edu,CSE - ECE - Electrical & Comp Engineering,
Swisher Research Group,"test, prod","swisher.stg.umn.edu, swisher.dev.umn.edu, swisher.dl9.umn.edu",sswisher,swisher.umn.edu,CSE - ECE - Electrical & Comp Engineering,
Adel Elmahdy,prod,"adel.dev.umn.edu, adel.stg.umn.edu, adel.dl8.umn.edu",adel,adel.umn.edu,CSE - ECE - Electrical & Comp Engineering,
Coronavirus Research Group at ECE,prod,"coronavirus-ece.dev.umn.edu, coronavirus.ece.umn.edu, covid19.ece.umn.edu",jpwang,coronavirus.ece.umn.edu,CSE - ECE - Electrical & Comp Engineering,
Husrev Cilasun,prod,"cilasun.dev.umn.edu, cilasun.umn.edu",cilas001,cilasun.umn.edu,CSE - ECE - Electrical & Comp Engineering,
Yaman.umn.edu,prod,"yaman.umn.edu, yaman.dev.umn.edu",yaman013,yaman.umn.edu,CSE - ECE - Electrical & Comp Engineering,
Ned Mohan,prod,nedmohan.umn.edu,mohan,nedmohan.umn.edu,CSE - ECE - Electrical & Comp Engineering,
Carlson Women's Network,"test, prod","cwn.stg.umn.edu, cwn.dev.umn.edu, cwn.dl9.umn.edu","cardi051, janeflis",cwn.umn.edu,CSOM - Carlson School of Management,
Carlson School of Management Undergraduate Program,prod,"carlsonundergraduate.dev.umn.edu, carlsonundergraduate.stg.umn.edu, carlsonundergraduate.dl9.umn.edu",lcamp,carlsonundergraduate.umn.edu,CSOM - Carlson School of Management,
MinCorpsMentors,"dev, test, prod","mincorpsmentors.dl9.umn.edu, mincorpsmentors.stg.umn.edu, mincorpsmentors.dev.umn.edu",pavo0003,mincorpsmentors.umn.edu,CSOM - Carlson School of Management,
UMN Innovation,"dev, test, prod","innovate.stg.umn.edu, innovate.dev.umn.edu, innovate.dl9.umn.edu",mylab001,innovate.umn.edu,CSOM - Carlson School of Management,
Carlson School Benefactor Impact,"dev, test, prod","benefactor-impact-carlsonschool.dev.umn.edu, benefactor-impact-carlsonschool.stg.umn.edu, benefactor-impact-carlsonschool.prd.umn.edu","ebaur, anderslj, thale, thom8963",benefactor-impact.carlsonschool.umn.edu,CSOM - Carlson School of Management,
Supply Chain Management Library Research,"dev, test, prod","library.stg.umn.edu, library.dev.umn.edu, library.dl9.umn.edu, library.msscm.umn.edu",busref,library.umn.edu,CSOM - Carlson School of Management,
Commencement 2021 - Carlson School of Management,"dev, test, prod","commencement2021-carlsonschool.dev.umn.edu, commencement2021-carlsonschool.stg.umn.edu",luong108,commencement2021.carlsonschool.umn.edu,CSOM - Carlson School of Management,
Minnesota Toward Zero Deaths,"dev, test, prod","www.minnesotatzd.org, minnesotatzd.dev.umn.edu, minnesotatzd.stg.umn.edu, minnesotatzd.prd.umn.edu, minnesotatzd.org","ande4255, santa195, derse008, siqv0001",minnesotatzd.org,CTS - Center for Transportation Studies,
FlexPass Commuting Study,prod,flexpass.dev.umn.edu,"siqv0001, ande4255",flexpass.umn.edu,CTS - Center for Transportation Studies,
School of Dentistry Student Intranet,prod,"sodstudents.dev.umn.edu, sodstudents.stg.umn.edu",conradz,sodstudents.umn.edu,DENT - Dentistry,
School of Dentistry Intranet,prod,"sodintranet.dev.umn.edu, sodintranet.stg.umn.edu",conradz,sodintranet.umn.edu,DENT - Dentistry,
Get to Know the ICU,"test, prod","icu.stg.umn.edu, icu.dev.umn.edu, icu.dl9.umn.edu, icu.drc.umn.edu",petr0181,icu.umn.edu,DRC - Disability Resource Center,
Systems Approaches for Healthy Communities,"test, prod","sahc.dev.umn.edu, sahc.stg.umn.edu","twigg015, amy",sahc.umn.edu,EXT - Extension,
Walk with Ease,prod,"walkwithease.dev.umn.edu, walkwithease.stg.umn.edu","twigg015, amy",walkwithease.umn.edu,EXT - Extension,
Great Lakes' Environmental Justice Thriving Communities Technical Assistance Center,"test, prod","greatlakestctac.dev.umn.edu, greatlakestctac.stg.umn.edu, tctac.umn.edu","twigg015, mnextweb, amy",greatlakestctac.umn.edu,EXT - Extension,
Bee Minnesota Protect our Native Bumblebees,prod,"beeminnesota.dev.umn.edu, beeminnesota.stg.umn.edu","twigg015, amy",beeminnesota.umn.edu,EXT - Extension,
HAB: Harmful Algae Blooms,"dev, test, prod","hab.stg.umn.edu, hab.dev.umn.edu",miss0035,hab.umn.edu,EXT - Extension,
Minnesota Master Naturalist Volunteer Hub,prod,"mnatvolunteer.dev.umn.edu, mnatvolunteer.stg.umn.edu",edombeck,mnatvolunteer.umn.edu,EXT - Extension,
Watershed Engagement Programming (WEP) Hub,"dev, test, prod","wephub.dev.umn.edu, wephub.stg.umn.edu","sawye177, twigg015, amy",wephub.umn.edu,EXT - Extension,
Extension Onboarding,prod,"extensiononboarding.dev.umn.edu, extensiononboarding.stg.umn.edu",amy,extensiononboarding.umn.edu,EXT - Extension,
Opioid.umn.edu,"test, prod","sandbox-opioid.umn.edu, sandbox-opioid.dev.umn.edu, opioid.umn.edu, opioids.umn.edu, opioids.stg.umn.edu","amy, twigg015",opioid.umn.edu,EXT - Extension,
UM Learning Abroad Atlas,"dev, test, prod","umabroad-atlas.dev.umn.edu, umabroad-atlas.stg.umn.edu, umabroad-atlas.prd.umn.edu",volna007,umabroad-atlas.umn.edu,GPS Alliance,
Watercooler,"dev, test, prod","umabroad-watercooler.dev.umn.edu, umabroad-watercooler.stg.umn.edu",volna007,umabroad-watercooler.umn.edu,GPS Alliance,
easystem.umn.edu,"dev, test, prod","easystem.dev.umn.edu, easystem.stg.umn.edu","blahnik, tdbedner, emomtche, harri740",easystem.umn.edu,GPS Alliance,
ISSS Casebook,"dev, test, prod","casebook.dev.umn.edu, casebook.stg.umn.edu, www.casebook.umn.edu","emomtche, tdbedner, harri740",casebook.umn.edu,GPS Alliance,
Immigration Response Team,prod,"immigration.dl8.umn.edu, www.immigration.umn.edu",boon0033,immigration.umn.edu,GPS Alliance,
CTRS Operations,prod,"ctrsoperations.dev.umn.edu, ctrsoperations.stg.umn.edu",mjohnso,ctrsoperations.umn.edu,Health Sciences Administration,
Health Sciences Strategic Plan,prod,"health-sciences-strategic-plan.dev.umn.edu, health-sciences-strategic-plan.stg.umn.edu",dlv,health-sciences-strategic-plan.umn.edu,Health Sciences Administration,
Health Science Technology,prod,"hst.dev.umn.edu, hst.stg.umn.edu",huhtala,hst.umn.edu,Health Sciences Administration,
Research Biobank,prod,"biobank.dev.umn.edu, biobank.stg.umn.edu",blix0009,biobank.umn.edu,Health Sciences Administration,
Rothenberger Leadership Academy,prod,"rothla.dev.umn.edu, rothla.stg.umn.edu",apendlet,rothla.umn.edu,Health Sciences Administration,
Sample Study Website,prod,"samplestudysite.dev.umn.edu, samplestudysite.stg.umn.edu",blix0009,samplestudysite.umn.edu,Health Sciences Administration,
Center For Immunology,prod,"cfi.dev.umn.edu, cfi.stg.umn.edu",benso010,cfi.umn.edu,Health Sciences Administration,
Flow Cytometry Resource,"test, prod","flowcytometry.dev.umn.edu, flowcytometry.stg.umn.edu",motl0007,flowcytometry.umn.edu,Health Sciences Administration,
6th World Conference,prod,"6thworldconference.dev.umn.edu, 6thworldconference.stg.umn.edu",myers006,6thworldconference.umn.edu,HHH - Humphrey School of Public Affairs,
Humphrey School of Public Affairs Intranet,"dev, test, prod","intranet-hhh-d9.dev.umn.edu, intranet-hhh-d9.stg.umn.edu, hub.hhh.umn.edu, intranet-hhh-d9.prd.umn.edu, intranet.hhh.umn.edu, hhh.umn.edu",tsalkas,intranet.hhh.umn.edu,HHH - Humphrey School of Public Affairs,
HRL Test,"dev, test, prod","hrltestdl.dl9.umn.edu, hrltechwiki.umn.edu, hrltestdl.stg.umn.edu, hrltestdl.dev.umn.edu, hrltechwiki.dl9.umn.edu, hrltechwiki.stg.umn.edu, hrltechwiki.dev.umn.edu",phamx039,hrltechwiki.umn.edu,HRL - Housing & Residential Life,
Ruan Laboratory,"test, prod","ruan.stg.umn.edu, ruan.dev.umn.edu, ruan.dl8.umn.edu",hruan,ruan.umn.edu,IBP Physiology Administration (11720),
Khoi Nguyen,"test, prod","khoi.stg.umn.edu, khoi.dev.umn.edu, khoi.dl9.umn.edu",khoi,khoi.umn.edu,Interdisciplinary Ctr Global Change,
KINtribute,"dev, test, prod","kintribute.stg.umn.edu, kintribute.dev.umn.edu, kintribute.dl8.umn.edu",sweet006,kintribute.umn.edu,Kinesiology Administration (11222),
Neurorobotics Consortium,prod,"neurorobotics.dev.umn.edu, neurorobotics.umn.edu","jkonczak, smoeller",neurorobotics.umn.edu,Kinesiology Administration (11222),
Kinesiology Quiet / Lactation Space,prod,"kin-quiet.umn.edu, kin-quiet.dev.umn.edu, kin-quiet.dl8.umn.edu",sweet006,kin-quiet.umn.edu,Kinesiology Administration (11222),
Law Stewardship,"dev, test, prod","stewardship-law.dev.umn.edu, stewardship-law.stg.umn.edu, stewardship-law.umn.edu","thale, dtrexel, byart, thom8963",stewardship.law.umn.edu,LAW,
Law Scholar D9,"dev, test, prod","law-scholar-d9.dev.umn.edu, law-scholar-d9.stg.umn.edu, law-scholar-d9.prd.umn.edu, www.scholar.law.umn.edu, scholar.law.umn.edu","dtrexel, fuchs142, incex011, kirkw068, byart",scholar.law.umn.edu,LAW,
2017 ALWD Conference Website,"test, prod","alwd.stg.umn.edu, alwd.dev.umn.edu, alwd.dl8.umn.edu",dtrexel,alwd.umn.edu,LAW,
Law & Economics Conference,prod,"lawecon-conf.umn.edu, lawecon-conf.dev.umn.edu",kurtz159,lawecon-conf.umn.edu,LAW,
Dale Trexel,"dev, test, prod","daletrexel.dev.umn.edu, daletrexel.stg.umn.edu",dtrexel,daletrexel.umn.edu,LAW,
Robina Institute of Criminal Law and Criminal Justice,"dev, test, prod","robinainstitute.dev.umn.edu, robinainstitute.stg.umn.edu, www.robinainstitute.umn.edu, sentencing.umn.edu, www.sentencing.umn.edu","reil0080, incex011, broek023, fuchs142, moria116, dtrexel, byart",robinainstitute.umn.edu,LAW,
Course Materials Request,prod,"coursematerials.dev.umn.edu, coursematerials.stg.umn.edu",coursematerials,coursematerials.umn.edu,LIB - Libraries,
digital preservation,prod,"dp.dev.umn.edu, dp.stg.umn.edu",j-nich,dp.umn.edu,LIB - Libraries,
Makerspaces and Shops,"dev, test, prod","makers.dl9.umn.edu, makers.stg.umn.edu, makers.dev.umn.edu","cbishoff, bleau005",makers.umn.edu,LIB - Libraries,
Snackeru,prod,"snackeru.dl8.umn.edu, snackeru.dev.umn.edu, snackeru.umn.edu",snackeru,snackeru.umn.edu,LIB - Libraries,
SMARTMind Study Website,prod,"smartmindstudy.dev.umn.edu, smartmindstudy.stg.umn.edu, smartmindstudy.umn.edu","adangol, hayee004",smartmindstudy.umn.edu,MED - Medical School,
Lefevre Lab,prod,"lefevrelab.dev.umn.edu, lefevrelab.stg.umn.edu","elefevre, adangol",lefevrelab.umn.edu,MED - Medical School,
noahgoldfarb.umn.edu,prod,"noahgoldfarb.umn.edu, noahgoldfarb.dev.umn.edu, noahgoldfarb.stg.umn.edu",gold0414,noahgoldfarb.umn.edu,MED - Medical School,
Minnesota Biomedical Undergraduate Research Program,prod,"mburp.umn.edu, mburp.stg.umn.edu, mburp.dev.umn.edu","adangol, span0005",mburp.umn.edu,MED - Medical School,
MN-LHS Scholar and Trainee Resources,prod,"mn-lhs-resources.dev.umn.edu, mn-lhs-resources.stg.umn.edu, mn-lhs-resources.umn.edu","oien0030, lindsay, trofh002",mn-lhs-resources.umn.edu,MED - Medical School,
ODEI Annual Report,prod,"odeiar.umn.edu, odeiar.dev.umn.edu, odeiar.stg.umn.edu","adangol, adindorf, vyas0054",odeiar.umn.edu,MED - Medical School,
Consortium for Maternal and Perinatal Research,prod,"cmpr.dev.umn.edu, cmpr.stg.umn.edu","mayhe001, adangol",cmpr.umn.edu,MED - Medical School,
MedTest,prod,"medtest.dev.umn.edu, medtest.stg.umn.edu","cjjohn, adangol",medtest.umn.edu,MED - Medical School,
ALRT Human Resources,prod,"alrthr.umn.edu, alrthr.dev.umn.edu, alrthr.stg.umn.edu","heine354, adangol",alrthr.umn.edu,MED - Medical School,
MICaB Graduate Program Student Profiles,prod,"micabgradstudents.dev.umn.edu, micabgradstudents.stg.umn.edu","rufx0007, adangol",micabgradstudents.umn.edu,MED - Medical School,
Center of Perinatal Research,prod,"cpr.dev.umn.edu, cpr.stg.umn.edu","mayhe001, adangol",cpr.umn.edu,MED - Medical School,
Researchers and collaborators who use the facilities at CMRR,prod,"users-cmrr.dev.umn.edu, users-cmrr.stg.umn.edu","gran0260, adangol",users.cmrr.umn.edu,MED - Medical School,
The Liang Lab,prod,"lianglab.dev.umn.edu, lianglab.stg.umn.edu","adangol, gillx236",lianglab.umn.edu,MED - Medical School,
Bramante Laboratory,prod,"bramante.dev.umn.edu, bramante.stg.umn.edu","hage0573, adangol",bramante.umn.edu,MED - Medical School,
Global Online Pain Fellowship,prod,"gopf.dev.umn.edu, gopf.stg.umn.edu","nguy4359, rkbanik, adangol",gopf.umn.edu,MED - Medical School,
DOMHub,prod,"domhub.dev.umn.edu, domhub.stg.umn.edu","sporter, adangol",domhub.umn.edu,MED - Medical School,
Center for Healthy Youth Development,prod,"hyd.prd.umn.edu, hyd.dev.umn.edu, hyd.stg.umn.edu, hyd.umn.edu, chyd.prd.umn.edu, chyd.umn.edu, prc.umn.edu","baum0272, adangol",hyd.umn.edu,MED - Medical School,
NEAT-O Research Study,prod,"neato.dev.umn.edu, neato.stg.umn.edu","adangol, mark0675",neato.umn.edu,MED - Medical School,
pengliu,prod,"pengliu.umn.edu, pengliu.dev.umn.edu, pengliu.stg.umn.edu, pengliulab.umn.edu","kdanders, adangol",pengliu.umn.edu,MED - Medical School,
Cai,prod,"cai.umn.edu, cai.dev.umn.edu, cai.stg.umn.edu, cailab.umn.edu","kdanders, adangol",cai.umn.edu,MED - Medical School,
postbac,prod,"postbac.umn.edu, postbac.dev.umn.edu, postbac.stg.umn.edu","mayhe001, adangol",postbac.umn.edu,MED - Medical School,
Brains in Motion Lab,prod,"brainsinmotionlab.dev.umn.edu, brainsinmotionlab.stg.umn.edu","adangol, palmerj",brainsinmotionlab.umn.edu,MED - Medical School,
GME Institutional Manual,prod,"gmepolicy.dev.umn.edu, gmepolicy.stg.umn.edu","adangol, cillig, s-engst",gmepolicy.umn.edu,MED - Medical School,
"Our Body, Our Health",prod,"jirkeena.umn.edu, jirkeena.dev.umn.edu, jirkeena.stg.umn.edu","soldier, conno043, huber621, adangol",jirkeena.umn.edu,MED - Medical School,
Department of Pediatrics Annual Report 2024,prod,"pediatrics-annual-report.umn.edu, pediatrics-annual-report.dev.umn.edu, pediatrics-annual-report.stg.umn.edu","adangol, buczy003, pedsweb, elgray",pediatrics-annual-report.umn.edu,MED - Medical School,
N Bud Grossman Center for Memory Research and Care,prod,"grossmancenter.umn.edu, grossmancenter.dev.umn.edu, grossmancenter.stg.umn.edu, grossmanmemorycenter.umn.edu",kdanders,grossmancenter.umn.edu,MED - Medical School,
Neuroscience Research at UMN,prod,"neuroresearch.umn.edu, neuroresearch.dev.umn.edu, neuroresearch.stg.umn.edu","thom8868, adangol",neuroresearch.umn.edu,MED - Medical School,
Laboratory of Structural Biology of Disease,prod,"structure.dev.umn.edu, structure.stg.umn.edu","cook0581, adangol, rugge009",structure.umn.edu,MED - Medical School,
Medical School Department Annual Report,"dev, test, prod","msdeptar.dev.umn.edu, msdeptar.stg.umn.edu",adangol,msdeptar.umn.edu,MED - Medical School,
Department of Surgery Annual Report,"dev, test, prod","surgeryar.dev.umn.edu, surgeryar.prd.umn.edu",adangol,surgeryar.umn.edu,MED - Medical School,
Minnesota Tic and Compulsivity Lab,prod,"ticlab.dev.umn.edu, ticlab.stg.umn.edu","cconelea, adangol",ticlab.umn.edu,MED - Medical School,
ALS Clinical and Research Program,prod,"als.stg.umn.edu, als.dev.umn.edu",adangol,als.umn.edu,MED - Medical School,
ACTIV-6 NW,prod,"activ6-nw.dev.umn.edu, activ6-nw.stg.umn.edu",adangol,activ6-nw.umn.edu,MED - Medical School,
Long COVID,prod,"longcovid.dev.umn.edu, longcovid.stg.umn.edu",adangol,longcovid.umn.edu,MED - Medical School,
ACTIV-6 OVMC,prod,"activ6-ovmc.dev.umn.edu, activ6-ovmc.stg.umn.edu",adangol,activ6-ovmc.umn.edu,MED - Medical School,
Ultrahigh Field MRI Technology and Translation Lab,"dev, test, prod","metzger.dev.umn.edu, metzger.stg.umn.edu",gmetzger,metzger.umn.edu,MED - Medical School,
Blood and Marrow Transplantation & Cellular Therapy Rare Disease Programs,prod,"rare.dev.umn.edu, rare.stg.umn.edu","buczy003, pedsweb, jutila, adangol",rare.umn.edu,MED - Medical School,
Youth Health Connect,"test, prod","youthhealthconnect.dev.umn.edu, youthhealthconnect.stg.umn.edu",stof0040,youthhealthconnect.umn.edu,MED - Medical School,
Preceptor Resources,"dev, test, prod","preceptor.dev.umn.edu, preceptor.stg.umn.edu","adangol, proff022, scozj",preceptor.umn.edu,MED - Medical School,
Spinal Cord Injury Resource,prod,"sci.stg.umn.edu, sci.dev.umn.edu","balse001, adangol",sci.umn.edu,MED - Medical School,
Halberg Chronobiology Center,prod,"halbergchronobiologycenter.stg.umn.edu, halbergchronobiologycenter.dev.umn.edu, halbergchronobiologycenter.prd.umn.edu, halbergchronobiologycenter.umn.edu","leegi001, corne001",halbergchronobiologycenter.umn.edu,MED - Medical School,
Institute for Engineering in Medicine Archives,prod,"archives-iem.dev.umn.edu, archives-iem.stg.umn.edu","adangol, johnsont",archives-iem.umn.edu,MED - Medical School,
Children's Activity Project,prod,"child-activity-research.dev.umn.edu, child-activity-research.stg.umn.edu",shaft011,child-activity-research.umn.edu,MED - Medical School,
Minnesota Center for Eating Disorders Research,prod,"mcedr.dev.umn.edu, mcedr.stg.umn.edu","mcedr, rasmu960, adangol",mcedr.umn.edu,MED - Medical School,
University of Minnesota NeuroNetwork,prod,"neuronetwork.dev.umn.edu, neuronetwork.stg.umn.edu",lanier,neuronetwork.umn.edu,MED - Medical School,
HarelLab,"dev, test, prod","harellab-cmrr.dev.umn.edu, harellab-cmrr.stg.umn.edu",hbraun,harellab.cmrr.umn.edu,MED - Medical School,
Hulleman Lab - UMN,"dev, test, prod","hulleman-lab.dev.umn.edu, hulleman-lab.stg.umn.edu","daniel7, kambh021",hulleman-lab.umn.edu,MED - Medical School,
Transitioning to Employment,prod,"transition.dev.umn.edu, transition.stg.umn.edu","bose0078, kale0040",transition.umn.edu,MED - Medical School,
Medical School Annual Report 2023,"dev, test, prod","annualreport2023.dev.umn.edu, annualreport2023.stg.umn.edu, annualreport-med.prd.umn.edu, ar.med.umn.edu",adangol,annualreport.med.umn.edu,MED - Medical School,
REVEAL Center,prod,"reveal.dev.umn.edu, reveal.stg.umn.edu",tyshy003,reveal.umn.edu,MED - Medical School,
"Neurobiology of Emotion, Sleep, and Trauma (NEST) Lab","dev, test, prod","nestlab.dev.umn.edu, nestlab.stg.umn.edu",moha0987,nestlab.umn.edu,MED - Medical School,
Largaespada Lab,"dev, test, prod","largaespadalab.dev.umn.edu, largaespadalab.stg.umn.edu","kbritos, adangol",largaespadalab.umn.edu,MED - Medical School,
"Pediatric Research, Education & Scholarship Symposium (PRESS)",prod,"press.dev.umn.edu, press.stg.umn.edu","pedsigp, pedsweb, nchandra, adangol",press.umn.edu,MED - Medical School,
Campo Lab,prod,"campolab.dev.umn.edu, campolab.stg.umn.edu",mcampo,campolab.umn.edu,MED - Medical School,
ICAR-8 (International Conference on Adoption Research),prod,"icar8.dev.umn.edu, icar8.stg.umn.edu",princ092,icar8.umn.edu,MED - Medical School,
Medical School Annual Report 2020,prod,"annualreport2020-med.dev.umn.edu, annualreport2020-med.stg.umn.edu, annualreport2020-med.prd.umn.edu",adangol,annualreport2020.med.umn.edu,MED - Medical School,
Cardiothoracic and Vascular Education Collaboration,prod,"cvec.dev.umn.edu, cvec.stg.umn.edu","willi067, adangol",cvec.umn.edu,MED - Medical School,
TicTech,prod,"tictech.dev.umn.edu, tictech.stg.umn.edu","canlab, cconelea",tictech.umn.edu,MED - Medical School,
SAVE THE BOTTOMS!!!,prod,"savethebottoms.dev.umn.edu, savethebottoms.stg.umn.edu","adangol, arson001",savethebottoms.umn.edu,MED - Medical School,
Pride Month,prod,"pridemonth.dev.umn.edu, pridemonth.stg.umn.edu",adangol,pridemonth.umn.edu,MED - Medical School,
Mental Health Month,prod,"mentalhealthmonth.dev.umn.edu, mentalhealthmonth.stg.umn.edu",adangol,mentalhealthmonth.umn.edu,MED - Medical School,
Department of Surgery Bios,prod,"bios-surgery.dev.umn.edu, bios-surgery.stg.umn.edu","adindorf, adangol",bios.surgery.umn.edu,MED - Medical School,
Medical School News Network - Journalist Pass,prod,"newsnetwork.dev.umn.edu, newsnetwork.stg.umn.edu, reporterpass.umn.edu",adangol,newsnetwork.umn.edu,MED - Medical School,
IBP Undergrad Symposium,prod,"ibpugsymposium.dev.umn.edu, ibpugsymposium.stg.umn.edu",mayhe001,ibpugsymposium.umn.edu,MED - Medical School,
Medical Scientist Training Program (MD/PhD) Student Directory,prod,"bios-mdphd.stg.umn.edu, bios-mdphd.dev.umn.edu","adangol, nick",bios.mdphd.umn.edu,MED - Medical School,
Medical School Media Mentions,"dev, prod","mmm.dev.umn.edu, mmm.stg.umn.edu",adangol,mmm.umn.edu,MED - Medical School,
Office of Compliance,prod,"medcompliance.stg.umn.edu, medcompliance.dev.umn.edu","saverbec, lunn0042, adangol",medcompliance.umn.edu,MED - Medical School,
Alejandro Lab,prod,"alejandrolab.dev.umn.edu, alejandrolab.stg.umn.edu",mayhe001,alejandrolab.umn.edu,MED - Medical School,
MAAX Conference 2023,prod,"maax23.dev.umn.edu, maax23.stg.umn.edu, maax24.umn.edu, maax.umn.edu, maax23.umn.edu",fulle281,maax23.umn.edu,MED - Medical School,
Minnesota Islet Club,prod,"mnisletclub.dev.umn.edu, mnisletclub.stg.umn.edu",mayhe001,mnisletclub.umn.edu,MED - Medical School,
Yamamoto Lab,prod,"yamamotolab.dev.umn.edu, yamamotolab.stg.umn.edu","adangol, toura018, yamam016",yamamotolab.umn.edu,MED - Medical School,
ACRC within the Dept. of Emergency Medicine,prod,"acrc.dev.umn.edu, acrc.stg.umn.edu","staug002, sannam, silva364, megant",acrc.umn.edu,MED - Medical School,
cis.med.umn.edu,prod,"cis-med.dev.umn.edu, cis-med.stg.umn.edu, cis.med.umn.edu","mayhe001, adangol",cis.med.umn.edu,MED - Medical School,
IBPT32,prod,"ibpt32.dev.umn.edu, ibpt32.stg.umn.edu, ibpt32.umn.edu","mayhe001, adangol",ibpt32.umn.edu,MED - Medical School,
Bios for Department of Otolaryngology - Head & Neck Surgery,prod,"bios-ent.dev.umn.edu, bios-ent.stg.umn.edu, bios.ent.umn.edu","adangol, gulli209",bios.ent.umn.edu,MED - Medical School,
ALS Natural History Study,prod,"alsnaturalhistory.dev.umn.edu, alsnaturalhistory.stg.umn.edu, alsnaturalhistory.umn.edu","neuro-comms, hans5471",alsnaturalhistory.umn.edu,MED - Medical School,
Infectious Disease and International Medicine Research Opportunities,prod,"idim-research-opp.dev.umn.edu, idim-research-opp.stg.umn.edu, idim-research.umn.edu",jeffy011,idim-research-opp.umn.edu,MED - Medical School,
MPAT Graduate Students,prod,"students-mpat.dev.umn.edu, students-mpat.stg.umn.edu, mpatgradprogram.umn.edu","lindl076, adangol",students.mpat.umn.edu,MED - Medical School,
bios.pathology.umn.edu,prod,"bios-pathology.dev.umn.edu, bios-pathology.stg.umn.edu","adangol, hoffm003",bios.pathology.umn.edu,MED - Medical School,
Lowe Lab,"dev, prod","lowelab.dev.umn.edu, lowelab.stg.umn.edu",percy011,lowelab.umn.edu,MED - Medical School,
Neurosurgery Bios,prod,"bios-neurosurgery.dev.umn.edu, bios-neurosurgery.stg.umn.edu",adangol,bios.neurosurgery.umn.edu,MED - Medical School,
Global Surgery Fundraiser,prod,"globalsurgery.dev.umn.edu, globalsurgery.stg.umn.edu","stephw, lorih",globalsurgery.umn.edu,MED - Medical School,
Total Pancreatectomy- Islet Autotransplantation,prod,"tpiat.dev.umn.edu, tpiat.stg.umn.edu",bell0130,tpiat.umn.edu,MED - Medical School,
